plant,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,
yis_agra,585.2636257,546.4911639,605.986838,587.6033432,606.9895741,586.2663618,605.3183473,605.3183473,586.6006071,606.6553287,586.6006071,604.6498566,,702.3163508,655.7893967,727.1842056,705.1240119,728.3874889,703.5196341,726.3820168,726.3820168,703.9207286,727.9863945,703.9207286,725.5798279
yis_asomaton,829.9312294,4953.850483,11440.21594,8013.532511,3336.437185,4486.909715,5867.343053,5700.220373,2621.152115,1249.074911,700.578275,1785.538714,,995.9174752,5944.62058,13728.25913,9616.239013,4003.724623,5384.291658,7040.811663,6840.264447,3145.382538,1498.889893,840.69393,2142.646457
yis_edessaiou,604.9841019,546.4911639,605.986838,587.6033432,606.6553287,586.2663618,605.3183473,605.3183473,586.2663618,606.6553287,586.6006071,604.9841019,,725.9809223,655.7893967,727.1842056,705.1240119,727.9863945,703.5196341,726.3820168,726.3820168,703.5196341,727.9863945,703.9207286,725.9809223
yis_thisavrou,2883.735407,7348.592247,35498.59719,32409.53079,15487.19912,15017.19503,19351.35359,9991.682646,6219.635866,2941.257209,4978.912438,7493.488938,,3460.482488,8818.310696,42598.31662,38891.43695,18584.63894,18020.63403,23221.62431,11990.01918,7463.563039,3529.508651,5974.694926,8992.186726
yis_kastrakiou,26466.18674,31033.38812,31830.49989,26310.91601,6890.657649,10067.68778,13067.236,12440.75596,9820.666166,7409.610628,8426.135722,9416.505586,,31759.42409,37240.06574,38196.59987,31573.09921,8268.789179,12081.22534,15680.6832,14928.90716,11784.7994,8891.532753,10111.36287,11299.8067
yis_kremaston,36762.42142,45512.17622,49678.33073,41400.40798,10414.14079,15918.98641,21069.49093,22321.41309,14190.25025,8684.989468,6394.123439,9705.043442,,44114.9057,54614.61146,59613.99688,49680.48957,12496.96895,19102.78369,25283.38911,26785.69571,17028.30029,10421.98736,7672.948127,11646.05213
yis_ladona,4937.203148,7789.429535,8619.783123,7080.373766,3927.53974,2840.40576,2676.553683,2586.716917,2286.291133,2719.835363,3103.73296,3996.099377,,5924.643778,9347.315442,10343.73975,8496.448519,4713.047687,3408.486912,3211.864419,3104.0603,2743.54936,3263.802436,3724.479552,4795.319252
yis_n_plastira,459.9732655,3495.49777,5278.758609,6012.173926,4810.561523,8313.161683,11689.04024,10566.67556,1188.155241,516.6054879,447.4506288,483.7102036,,551.9679186,4194.597324,6334.510331,7214.608711,5772.673827,9975.79402,14026.84828,12680.01068,1425.78629,619.9265855,536.9407546,580.4522443
yis_pigon_aoou,7672.957086,6224.216937,4793.183612,10478.68384,2749.923431,1475.56867,965.8267661,1314.597543,2816.994734,2951.137341,1786.242947,3750.89556,,9207.548503,7469.060324,5751.820334,12574.42061,3299.908117,1770.682404,1158.992119,1577.517051,3380.393681,3541.364809,2143.491536,4501.074672
yis_platanovrisis,3066.858612,5610.560075,21121.42322,18064.03023,7481.838953,6909.169366,9476.1708,5128.541936,3120.01167,2005.253708,1939.358479,2000.884964,,3680.230335,6732.67209,25345.70787,21676.83627,8978.206744,8291.00324,11371.40496,6154.250323,3744.014004,2406.30445,2327.230175,2401.061956
